Unnamed: 0,Sentiment,EMA,SMA,Index_EMA,Index_SMA,percent_difference
2017-01-09,0.15098421717171717,770.6206,768.4110000000001,226.52599999999998,227.4395,-0.08411387792100089
2017-01-10,0.13723270202020202,773.0282,769.773,226.6473,227.437,0.12423029307025367
2017-01-11,0.13331363636363636,775.5036,771.7180000000001,226.8152,227.479,2.022377482465492
2017-01-12,0.13556911976911976,779.1356,773.683,226.9252,227.425,0.2459309075046147
2017-01-13,0.07511784511784513,782.7551,776.0989999999999,227.0647,227.4785,-0.5796594769103948
2017-01-17,0.19667421744921745,785.3232,778.535,227.1195,227.4565,-0.4699264852790785
2017-01-18,0.11366208513708514,787.4334,781.0205,227.21099999999998,227.47400000000002,0.5132567752127928
2017-01-19,0.15779924242424243,789.4911,783.1725,227.2242,227.43400000000003,-0.4176461689962922
2017-01-20,0.09386154401154402,791.2853,785.028,227.3076,227.3865,1.4138024015209012
2017-01-23,0.21515530303030303,793.8181,787.3919999999999,227.3326,227.40599999999998,-0.053262068920800536
2017-01-24,0.07614444444444445,796.544,790.197,227.4876,227.5115,0.8996100166024334
2017-01-25,0.12921952260702263,800.3513,793.9935,227.805,227.7025,0.3447244044984577
2017-01-26,0.11449079254079253,804.0464,797.3810000000001,228.0854,227.858,-0.25110922940970803
2017-01-27,0.17308127705627707,807.0677,800.563,228.3059,228.0895,-0.050296215116994336
2017-01-30,0.21577117604617604,809.2879,803.8245,228.3748,228.2535,-0.7872824663089943
2017-01-31,0.13444687950937953,810.6395,807.505,228.4277,228.4505,1.0247182871109286
2017-02-01,0.17522943722943726,812.7072,811.439,228.487,228.574,0.8781505595069862
2017-02-02,0.11757402597402597,815.3017,815.5775,228.5482,228.63299999999998,-4.266357045800029
2017-02-03,0.26361363636363644,814.8159,817.065,228.7617,228.7855,-0.13832068698940989
2017-02-06,0.18594343434343433,814.1324,817.6475,228.9158,228.8725,0.606093910972074
2017-02-07,0.06760806277056278,813.977,818.4265,229.0543,228.99599999999998,0.7658410116167677
2017-02-08,0.08967236513486515,814.523,819.617,229.2063,229.1385,-0.3840117058735831
2017-02-09,0.07469327200577201,815.1741,820.7339999999999,229.4724,229.31799999999998,0.3504293131996429
2017-02-10,0.18023841991341993,816.3442,821.425,229.7998,229.565,0.5422634856871946
2017-02-13,0.1687852453102453,818.2667,822.3945,230.2188,229.8555,-0.4181021550095549
2017-02-14,0.1745537878787879,819.9927,823.7280000000001,230.6875,230.2305,0.2440984717609265
2017-02-15,0.17621877705627706,822.1553,825.4889999999999,231.2258,230.6435,0.22165362468277974
